vote,subtopic1,subtopic2,subtopic3,topic1,topic2,topic3,anom
111 Congress:h4899:165:2010-05-27,"Public Lands and Water Management:Natural Resources, Public Lands, and Forest Management",NONE,NONE,Public Lands and Water Management,NONE,NONE,yes
111 Congress:h4899:166:2010-05-27,"Law, Crime, and Family Issues:Juvenile Crime and the Juvenile Justice System",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,yes
111 Congress:h4899:167:2010-05-27,"Law, Crime, and Family Issues:Executive Branch Agencies Dealing With Law and Crime",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,yes
111 Congress:h4899:169:2010-05-27,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:h4899:170:2010-05-27,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:h4899:219:2010-07-22,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:h5297:231:2010-09-14,"Banking, Finance, and Domestic Commerce:Consumer Finance, Mortgages, and Credit Cards",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:h627:192:2009-05-13,NONE,NONE,NONE,NONE,NONE,NONE,yes
111 Congress:s1147:124:2010-03-17,"Law, Crime, and Family Issues:Police, Fire, and Weapons Control",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:s1390:231:2009-07-16,"Government Operations:Regulation of Political Campaigns, Political Advertising, PAC regulation, Voter Registration, Government Ethics",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s1390:233:2009-07-16,Public Lands and Water Management:Native American Affairs,NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:s1390:235:2009-07-21,Defense:Direct War Related Issues,NONE,NONE,Defense,NONE,NONE,no
111 Congress:s1390:236:2009-07-21,Defense:General,NONE,NONE,Defense,NONE,NONE,no
111 Congress:s1390:238:2009-07-22,Government Operations:Government Property Management,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s1390:240:2009-07-23,Environment:Species and Forest Protection,NONE,NONE,Environment,NONE,NONE,no
111 Congress:s1390:242:2009-07-23,Defense:General,NONE,NONE,Defense,NONE,NONE,no
111 Congress:s160:65:2009-02-24,Government Operations:District of Columbia Affairs,NONE,NONE,Government Operations,NONE,NONE,no
